CombatRank,ValueRank,ShockRank,ShockValueRank,Unit,Cost,SmallArms,HP,NormalizedHP,EffectiveDPS,Suppression,NormalizedSuppression,ShockDPS,ShockSuppression,ShockNormalizedSuppression,ATScore,CombatScore,ValueScore,IsShock,ShockCombatScore,ShockValueScore
26,132,765,832,MFG BOFORS 40L70G,60,1,4,0.25,0.315,179.87,1.2698,0,0,0.0,0,0.4831,0.8052,False,0.0875,0.1458
27,134,23,97,DSh. AFGANTSY,60,9,8,0.5,0.364,99.71,0.7039,0.703,103.58,0.7313,0,0.4797,0.7995,True,0.6375,1.0626
28,95,28,84,OKHRANA VMF,55,14,14,0.875,0.228,48.27,0.3407,0.531,48.27,0.3407,0,0.4771,0.8674,False,0.6133,1.1151
29,97,11,45,WACHSCHÜTZEN (RPO),55,11,10,0.625,0.316,80.47,0.5681,0.791,94.67,0.6683,0,0.4745,0.8628,True,0.7086,1.2883
30,29,27,10,PIONIERS (Flam.),40,10,9,0.5625,0.299,95.67,0.6754,0.588,112.55,0.7946,0,0.4663,1.1659,True,0.6204,1.5511
31,400,14,237,AERO-RIFLES (AT-4),80,13,13,0.8125,0.223,52.0,0.3671,0.703,61.17,0.4319,3.82,0.4583,0.5728,True,0.687,0.8587
32,401,41,376,USMC RIFLEMEN (AT-4),80,13,13,0.8125,0.223,52.0,0.3671,0.519,52.0,0.3671,3.82,0.4583,0.5728,False,0.5915,0.7394
33,457,42,432,USMC RIFLEMEN (Dragon),85,13,13,0.8125,0.223,52.0,0.3671,0.519,52.0,0.3671,1.98,0.4583,0.5391,False,0.5915,0.6959
34,317,43,305,USMC RIFLEMEN (LAW),75,13,13,0.8125,0.223,52.0,0.3671,0.519,52.0,0.3671,2.39,0.4583,0.611,False,0.5915,0.7887
35,121,44,96,USAF SECURITY,55,13,13,0.8125,0.22,50.69,0.3579,0.511,50.69,0.3579,0,0.4548,0.8268,False,0.5858,1.0651
36,410,24,310,HOCHGEBIRGSJÄGER,80,11,11,0.6875,0.29,57.79,0.408,0.644,70.35,0.4966,0,0.4525,0.5656,True,0.6299,0.7874
37,274,47,273,COMMANDO,70,11,11,0.6875,0.286,57.09,0.403,0.579,50.69,0.3578,3.49,0.4498,0.6426,True,0.5726,0.818
38,570,30,513,AERO-SCOUTS (GSR),100,13,13,0.8125,0.208,50.07,0.3535,0.583,45.18,0.3189,2.39,0.4485,0.4485,True,0.6105,0.6105
39,54,48,47,K.d.A. SCHÜTZEN.,45,14,14,0.875,0.186,40.22,0.284,0.465,40.22,0.284,0.61,0.4466,0.9925,False,0.5725,1.2721
40,535,20,408,NAVY SEALS,90,9,9,0.5625,0.35,56.6,0.3995,0.723,85.41,0.6029,5.4,0.4343,0.4826,True,0.6428,0.7142
41,500,17,328,GURKHA RIFLES,85,12,12,0.75,0.222,48.8,0.3445,0.698,57.41,0.4053,4.49,0.4311,0.5072,True,0.6574,0.7735
42,187,12,57,MARINEPIONIER,60,12,12,0.75,0.232,45.33,0.32,0.765,69.02,0.4872,0,0.4307,0.7178,True,0.7041,1.1735
43,149,67,150,REZERWISCI (SVD),55,12,12,0.75,0.205,53.51,0.3778,0.462,41.84,0.2954,1.6,0.4302,0.7822,False,0.5296,0.9629
44,311,76,371,SDRA 8,70,9,10,0.625,0.275,61.88,0.4369,0.466,63.39,0.4475,0,0.43,0.6143,True,0.5181,0.7401
45,73,35,36,WACHSCHÜTZEN (STOSS),45,10,10,0.625,0.28,60.0,0.4236,0.577,86.27,0.6091,0,0.4295,0.9544,True,0.6003,1.3341
46,316,16,158,NIEBIESKIE BERETY,70,12,12,0.75,0.226,45.05,0.318,0.712,52.99,0.3741,1.57,0.4279,0.6113,True,0.6579,0.9398
47,260,53,234,RANGERS (DRAGON),65,9,9,0.5625,0.343,54.29,0.3833,0.606,63.88,0.4509,2.4,0.4278,0.6581,True,0.5597,0.8611
48,192,54,165,RANGERS (LAW),60,9,9,0.5625,0.343,54.29,0.3833,0.606,63.88,0.4509,3.01,0.4278,0.7129,True,0.5597,0.9328
49,9,774,721,HS.831 30mm,35,1,4,0.25,0.395,112.94,0.7973,0,0,0.0,0,0.4249,1.2139,False,0.0875,0.25
50,345,13,129,MARINEPIONIER (Flam.),70,11,12,0.75,0.214,42.13,0.2974,0.706,84.17,0.5942,0,0.4185,0.5978,True,0.699,0.9986
51,277,26,152,VÝSADKÁŘI,65,10,10,0.625,0.295,46.37,0.3274,0.727,54.56,0.3852,2.86,0.4169,0.6414,True,0.623,0.9584
52,52,89,48,R.A.F. BERLIN,40,12,12,0.75,0.197,45.76,0.323,0.401,45.76,0.323,2.17,0.4157,1.0392,False,0.5074,1.2684
53,533,61,499,CRAP,85,10,10,0.625,0.261,52.55,0.371,0.569,45.35,0.3202,2.38,0.4105,0.4829,True,0.5387,0.6338
54,375,79,394,AIRMOBILE TERRIERS,70,12,12,0.75,0.197,41.76,0.2948,0.419,41.76,0.2948,1.8,0.4103,0.5862,False,0.5102,0.7288
55,655,29,558,AB ENGINEERS LDR.,115,12,12,0.75,0.197,41.72,0.2945,0.621,49.09,0.3465,2.39,0.4101,0.3566,True,0.6111,0.5314
56,444,49,345,COMMANDO CMG,75,8,8,0.5,0.332,59.2,0.4179,0.658,70.3,0.4963,3.49,0.4078,0.5438,True,0.5701,0.7602
57,124,64,95,REZERWISCI,50,12,12,0.75,0.191,41.72,0.2945,0.477,41.72,0.2945,1.46,0.4073,0.8146,False,0.5363,1.0725
59,127,34,54,SAPERI (RPO),50,9,8,0.5,0.282,73.92,0.5219,0.686,86.97,0.614,0,0.4065,0.813,True,0.6065,1.2131
59,127,34,54,SAPERI (RPO),50,9,8,0.5,0.282,73.92,0.5219,0.686,86.97,0.614,0,0.4065,0.813,True,0.6065,1.2131
60,128,130,159,HJV,50,12,12,0.75,0.171,47.06,0.3322,0.349,35.39,0.2499,2.17,0.4059,0.8118,False,0.4695,0.9391
61,566,37,479,USMC ENGINEERS LDR.,90,12,12,0.75,0.189,40.56,0.2863,0.595,47.71,0.3368,2.39,0.4049,0.4498,True,0.5977,0.6641
62,619,70,559,SAS,100,8,8,0.5,0.345,52.21,0.3686,0.593,61.43,0.4337,5.4,0.4042,0.4042,True,0.5287,0.5287
63,243,100,260,HJV FØRER,60,12,12,0.75,0.181,42.15,0.2976,0.39,42.15,0.2976,0.87,0.4034,0.6723,False,0.4977,0.8295
64,303,39,179,COMMANDOS,65,10,10,0.625,0.262,45.88,0.3239,0.66,53.97,0.381,2.38,0.4016,0.6178,True,0.5918,0.9105
65,133,82,116,PROVINCIAUX,50,12,12,0.75,0.178,41.91,0.2958,0.417,41.91,0.2958,0.87,0.4016,0.8032,False,0.5094,1.0188
66,664,38,571,AIRBORNE LDR.,115,12,12,0.75,0.185,38.4,0.2711,0.59,45.73,0.3228,3.82,0.4001,0.3479,True,0.5923,0.5151
67,312,114,373,POHRANIČNÍCI,65,11,11,0.6875,0.204,46.99,0.3317,0.423,35.32,0.2494,2.39,0.3989,0.6137,False,0.4808,0.7397
68,546,46,463,FALLSCHIRMJÄGER B1,85,8,8,0.5,0.315,57.98,0.4093,0.615,87.03,0.6144,7.7,0.3987,0.469,True,0.5748,0.6763
69,256,102,264,MECH. CP ESCORT,60,11,11,0.6875,0.217,42.42,0.2994,0.433,42.42,0.2994,1.8,0.3981,0.6634,False,0.4955,0.8259
70,141,81,115,GIGN,50,8,8,0.5,0.315,57.6,0.4066,0.529,68.42,0.483,0,0.398,0.796,True,0.5096,1.0192
757,688,578,579,PATHFINDERS,85,9,9,0.5625,0.287,50.51,0.3566,0.707,59.42,0.4195,3.49,0.3973,0.4674,True,0.5991,0.7048
72,143,25,51,N.G. ENGINEERS (Flam.),50,11,12,0.75,0.171,40.57,0.2864,0.554,82.34,0.5813,0,0.3969,0.7937,True,0.6283,1.2565
73,191,32,85,SAPERZY SZTURMOWI,55,9,9,0.5625,0.247,59.62,0.4209,0.697,70.14,0.4952,0,0.3923,0.7132,True,0.6094,1.1081
74,103,91,82,ZAPADORES (M65),45,9,9,0.5625,0.252,54.0,0.3812,0.487,63.53,0.4485,1.68,0.3865,0.8589,True,0.5058,1.1239
75,68,57,35,ZAPADORES,40,9,9,0.5625,0.252,54.0,0.3812,0.523,79.22,0.5592,0,0.3865,0.9663,True,0.5441,1.3603
76,38,775,722,HSS.630-3 20mm,35,1,4,0.25,0.35,100.0,0.706,0,0,0.0,0,0.3862,1.1034,False,0.0875,0.25
77,440,66,349,GEB. JAGDKOMMANDO,70,11,11,0.6875,0.177,44.2,0.312,0.474,53.96,0.381,0,0.3828,0.5468,True,0.5302,0.7574
78,372,187,477,GEBIRGSJÄGER ,65,11,11,0.6875,0.177,44.2,0.312,0.324,32.53,0.2297,1.72,0.3828,0.5889,False,0.4323,0.665
79,72,809,757,ZUR-23-2S JOD,40,1,4,0.25,0.346,98.83,0.6977,0,0,0.0,0,0.3827,0.9567,False,0.0875,0.2187
80,111,810,774,DESANT. ZUR-23-2S JOD,45,1,4,0.25,0.346,98.83,0.6977,0,0,0.0,0,0.3827,0.8504,False,0.0875,0.1944
81,542,113,519,COMMANDOS DE L'AIR,80,8,9,0.5625,0.226,58.46,0.4127,0.505,40.54,0.2862,3.76,0.3813,0.4766,True,0.4814,0.6018
82,39,799,723,PLDvK vz.53 30mm,35,1,4,0.25,0.296,112.94,0.7973,0,0,0.0,0,0.3804,1.0868,False,0.0875,0.25
83,74,145,65,HJV RESERVISTER,40,12,12,0.75,0.151,35.12,0.248,0.325,35.12,0.248,0.72,0.3799,0.9497,False,0.4585,1.1463
84,114,119,102,BEVEILIGING MOBIEL ,45,10,10,0.625,0.213,46.14,0.3257,0.426,46.14,0.3257,0,0.3799,0.8443,False,0.4757,1.0572
161,327,129,239,PIONIER (CarlG),50,9,9,0.5625,0.24,52.92,0.3736,0.647,62.25,0.4395,0,0.3794,0.7588,True,0.5757,1.1515
86,447,50,285,ENGINEERS LDR.,70,11,11,0.6875,0.184,39.52,0.279,0.579,46.49,0.3282,0,0.3792,0.5417,True,0.5668,0.8097
87,41,147,44,CONSCRITS,35,12,12,0.75,0.146,34.88,0.2462,0.316,34.88,0.2462,0.5,0.3777,1.079,False,0.4537,1.2964
544,578,501,531,MECH. RIFLES LDR.,75,11,11,0.6875,0.187,37.15,0.2622,0.405,37.61,0.2655,1.8,0.3774,0.5031,False,0.476,0.6347
89,391,52,230,REZ. DESANT. MOR. PEKHOTA,65,11,11,0.6875,0.182,38.67,0.273,0.573,45.49,0.3211,2.39,0.3771,0.5801,True,0.5625,0.8654
90,75,143,64,BEZPEČNOSTNÍ ODDÍL,40,10,10,0.625,0.215,43.2,0.305,0.399,43.2,0.305,0,0.3765,0.9411,False,0.4595,1.1487
91,297,156,357,PIECHOTA (SVD),60,10,10,0.625,0.197,47.11,0.3326,0.407,35.45,0.2502,1.57,0.3741,0.6235,False,0.4519,0.7531
92,123,132,106,MARINIER,45,10,10,0.625,0.199,43.0,0.3036,0.415,43.0,0.3036,0,0.3692,0.8205,False,0.4661,1.0359
93,177,175,224,KOMEND. USILENNAYA,50,10,10,0.625,0.185,47.11,0.3326,0.379,35.45,0.2502,0,0.3687,0.7374,False,0.4393,0.8786
94,48,768,718,CAA 20/120 BITUBO ,35,1,4,0.25,0.329,94.12,0.6645,0,0,0.0,0,0.3686,1.0532,False,0.0875,0.25
95,49,772,720,FK20-2 20mm ZWILLINGE,35,1,4,0.25,0.329,94.12,0.6645,0,0,0.0,0,0.3686,1.0532,False,0.0875,0.25
96,318,160,360,MARINESICHERUNGS,60,11,11,0.6875,0.169,35.39,0.2499,0.352,35.39,0.2499,1.8,0.3665,0.6108,False,0.4492,0.7486
437,315,391,299,SICHERUNGS,45,11,11,0.6875,0.169,35.39,0.2499,0.352,35.39,0.2499,0,0.3665,0.8144,False,0.4492,0.9982
98,416,194,482,INFANTERIE CMG,65,10,10,0.625,0.196,41.14,0.2905,0.336,41.61,0.2938,2.39,0.365,0.5616,False,0.4288,0.6597
99,326,180,396,SRN,60,10,10,0.625,0.187,43.79,0.3091,0.383,32.12,0.2268,0,0.3648,0.608,False,0.4364,0.7274
100,419,155,429,MP LEADER,65,11,11,0.6875,0.164,33.83,0.2388,0.366,33.83,0.2388,0,0.3622,0.5573,False,0.4529,0.6968
101,185,162,210,GENDARMES,50,10,10,0.625,0.19,40.09,0.283,0.385,40.09,0.283,0.87,0.3609,0.7219,False,0.4486,0.8972
102,340,105,276,WACHSCHÜTZEN,60,10,10,0.625,0.176,43.93,0.3101,0.483,37.96,0.268,1.83,0.36,0.6,True,0.4898,0.8163
103,135,198,160,MOR. PEKHOTA (SVD),45,10,10,0.625,0.174,43.93,0.3101,0.351,32.27,0.2278,0,0.3589,0.7975,False,0.4224,0.9387
104,598,111,532,PARAS-MARINE (Eryx),85,10,10,0.625,0.173,43.79,0.3091,0.475,37.79,0.2668,3.12,0.3586,0.4219,True,0.4858,0.5716
105,571,112,515,PARAS-MARINE,80,10,10,0.625,0.173,43.79,0.3091,0.475,37.79,0.2668,4.72,0.3586,0.4483,True,0.4858,0.6073
106,346,199,419,GREN.-VOLTIGEURS (FR-F1),60,10,10,0.625,0.173,43.79,0.3091,0.351,32.12,0.2268,1.68,0.3586,0.5977,False,0.4221,0.7035
107,431,200,490,LEGIONNAIRES,65,10,10,0.625,0.173,43.79,0.3091,0.351,32.12,0.2268,1.68,0.3586,0.5517,False,0.4221,0.6493
108,347,201,420,MARSOUINS,60,10,10,0.625,0.173,43.79,0.3091,0.351,32.12,0.2268,1.68,0.3586,0.5977,False,0.4221,0.7035
109,53,144,41,ZÁLOŽNÍCI,35,10,10,0.625,0.182,40.92,0.2889,0.406,40.92,0.2889,2.17,0.3585,1.0244,False,0.4592,1.3119
110,495,55,301,KSK,70,7,7,0.4375,0.292,52.0,0.3671,0.64,80.0,0.5648,3.49,0.3581,0.5116,True,0.5539,0.7912
111,264,65,142,STRANDMEISTER ,55,10,10,0.625,0.183,38.82,0.2741,0.505,61.36,0.4332,0,0.3558,0.6468,True,0.5327,0.9685
112,499,231,527,SPETSNAZ KOM.,70,7,7,0.4375,0.27,57.2,0.4038,0.399,51.48,0.3634,5.47,0.3555,0.5079,True,0.4054,0.5791
113,269,195,325,FUSILEROS (C90),55,11,11,0.6875,0.154,31.43,0.2219,0.314,31.43,0.2219,4.78,0.3543,0.6442,False,0.4265,0.7754
114,442,63,265,BERLIN RIFLES,65,10,10,0.625,0.179,38.93,0.2748,0.562,45.8,0.3233,4.49,0.3541,0.5448,True,0.5364,0.8252
115,273,183,302,CMDT PROVINCIAUX,55,10,10,0.625,0.173,40.18,0.2837,0.353,40.65,0.287,0,0.3535,0.6428,False,0.435,0.7909
116,198,139,171,VPB,50,10,10,0.625,0.184,35.47,0.2504,0.429,35.47,0.2504,1.57,0.3518,0.7036,False,0.4618,0.9237
117,456,247,516,GEB. AUFKLÄRER,65,10,10,0.625,0.163,41.34,0.2919,0.295,29.68,0.2095,1.72,0.3505,0.5393,False,0.3935,0.6054
118,509,238,537,JÄGER FÜH.,70,10,10,0.625,0.163,41.34,0.2919,0.3,30.14,0.2128,0,0.3505,0.5008,False,0.3963,0.5662
119,158,75,60,PIONIER (AGI),45,9,8,0.5,0.179,66.43,0.469,0.52,78.15,0.5517,0,0.3492,0.7759,True,0.5192,1.1538
120,631,136,572,DESANT. SPETSRAZVEDKA,90,10,10,0.625,0.161,40.47,0.2857,0.437,33.88,0.2392,2.76,0.3485,0.3872,True,0.4634,0.5148
121,202,197,250,LIVGARDEN,50,10,10,0.625,0.173,36.44,0.2572,0.341,36.44,0.2572,1.8,0.348,0.6959,False,0.4234,0.8468
122,287,188,314,HEIMAT-JÄGER FÜH.,55,10,10,0.625,0.165,38.82,0.2741,0.348,39.29,0.2774,0,0.348,0.6326,False,0.4307,0.7831
123,519,88,397,GUERRILLEROS,70,8,8,0.5,0.229,49.2,0.3473,0.551,60.23,0.4252,0,0.3477,0.4967,True,0.5081,0.7259
124,395,77,232,DESANT. KOMANDOSI,60,8,8,0.5,0.245,42.68,0.3013,0.604,50.21,0.3545,2.22,0.3454,0.5757,True,0.5175,0.8625
125,98,179,88,RESERVE,40,10,10,0.625,0.161,38.14,0.2693,0.366,38.14,0.2693,2.17,0.3451,0.8627,False,0.4375,1.0938
126,101,92,50,ZAPADORES (BMR),40,8,8,0.5,0.225,48.82,0.3446,0.505,73.12,0.5162,0,0.345,0.8625,True,0.5055,1.2638
127,56,206,55,RESERVISTES (LRAC),35,10,10,0.625,0.159,38.09,0.2689,0.328,38.09,0.2689,0.97,0.3442,0.9833,False,0.4201,1.2002
128,165,193,155,WSW,45,9,9,0.5625,0.2,40.67,0.2871,0.389,40.67,0.2871,0,0.3442,0.7649,False,0.4295,0.9544
129,228,95,124,ŽENIJNÍ PRŮZKUMNÍCI,50,8,8,0.5,0.223,48.52,0.3426,0.501,72.77,0.5137,0,0.344,0.6881,True,0.5033,1.0065
130,31,811,699,FLAK ZU-23-2 23mm,30,1,4,0.25,0.259,98.83,0.6977,0,0,0.0,0,0.3438,1.1459,False,0.0875,0.2917
131,57,812,726,MOR. ZU-23-2,35,1,4,0.25,0.259,98.83,0.6977,0,0,0.0,0,0.3438,0.9822,False,0.0875,0.25
136,34,817,702,ZU-23-2,30,1,4,0.25,0.259,98.83,0.6977,0,0,0.0,0,0.3438,1.1459,False,0.0875,0.2917
134,59,815,728,DESANT. ZU-23-2,35,1,4,0.25,0.259,98.83,0.6977,0,0,0.0,0,0.3438,0.9822,False,0.0875,0.25
134,59,815,728,DESANT. ZU-23-2,35,1,4,0.25,0.259,98.83,0.6977,0,0,0.0,0,0.3438,0.9822,False,0.0875,0.25
136,34,817,702,ZU-23-2,30,1,4,0.25,0.259,98.83,0.6977,0,0,0.0,0,0.3438,1.1459,False,0.0875,0.2917
136,34,817,702,ZU-23-2,30,1,4,0.25,0.259,98.83,0.6977,0,0,0.0,0,0.3438,1.1459,False,0.0875,0.2917
137,292,163,277,URSN,55,8,8,0.5,0.234,44.87,0.3167,0.493,36.31,0.2564,2.22,0.3438,0.6251,True,0.4483,0.8151
138,166,167,136,OKHRANA,45,10,10,0.625,0.166,35.47,0.2504,0.387,35.47,0.2504,0,0.3437,0.7639,False,0.4431,0.9847
139,167,107,92,GENIE VERK,45,8,8,0.5,0.224,48.0,0.3389,0.469,72.16,0.5094,0,0.3436,0.7635,True,0.4879,1.0843
140,60,108,34,ŽENISTÉ,35,8,8,0.5,0.224,48.0,0.3389,0.469,72.16,0.5094,0,0.3436,0.9816,True,0.4879,1.3941
141,294,56,127,AIRBORNE ENGINEERS,55,10,10,0.625,0.166,35.32,0.2494,0.56,57.24,0.4041,0,0.3435,0.6245,True,0.5514,1.0025
142,402,168,378,CHASSEURS-PARAS,60,10,10,0.625,0.166,35.32,0.2494,0.387,35.32,0.2494,1.68,0.3435,0.5724,False,0.4428,0.7379
143,592,78,494,LÉGIONNAIRES-PARAS,80,10,10,0.625,0.166,35.32,0.2494,0.524,41.56,0.2934,4.72,0.3435,0.4293,True,0.513,0.6413
144,403,169,379,GREN.-VOLTIGEURS (APILAS),60,10,10,0.625,0.166,35.32,0.2494,0.387,35.32,0.2494,4.72,0.3435,0.5724,False,0.4428,0.7379
145,404,170,380,AEROMOBILES,60,10,10,0.625,0.166,35.32,0.2494,0.387,35.32,0.2494,4.72,0.3435,0.5724,False,0.4428,0.7379
146,295,171,288,GRENADIER-VOLTIGEURS,55,10,10,0.625,0.166,35.32,0.2494,0.387,35.32,0.2494,1.68,0.3435,0.6245,False,0.4428,0.805
147,470,172,458,LEGIONNAIRES (APILAS),65,10,10,0.625,0.166,35.32,0.2494,0.387,35.32,0.2494,4.72,0.3435,0.5284,False,0.4428,0.6812
148,405,173,381,MARSOUINS (APILAS),60,10,10,0.625,0.166,35.32,0.2494,0.387,35.32,0.2494,4.72,0.3435,0.5724,False,0.4428,0.7379
149,231,182,227,MILITARY POLICE,50,10,10,0.625,0.164,35.29,0.2491,0.37,35.29,0.2491,0,0.3425,0.6849,False,0.4351,0.8702
150,232,98,126,INGENIØRER (CarlG),50,8,8,0.5,0.221,47.82,0.3376,0.55,56.26,0.3972,0,0.342,0.6839,True,0.502,1.004
151,112,256,149,RESERVISTES (FR-F1),40,10,10,0.625,0.141,41.05,0.2898,0.28,29.38,0.2074,0.97,0.3401,0.8503,False,0.3863,0.9657
152,237,58,90,AERO-ENGINEERS,50,10,10,0.625,0.161,34.16,0.2411,0.544,55.87,0.3944,0,0.3396,0.6792,True,0.5425,1.085
153,238,59,91,ENGINEERS,50,10,10,0.625,0.161,34.16,0.2411,0.544,55.87,0.3944,0,0.3396,0.6792,True,0.5425,1.085
154,482,94,323,AERO-SCOUTS,65,10,10,0.625,0.161,34.16,0.2411,0.508,40.19,0.2837,2.39,0.3396,0.5225,True,0.5041,0.7756
155,310,62,138,USMC ENGINEERS,55,10,10,0.625,0.158,34.16,0.2411,0.534,55.87,0.3944,0,0.3382,0.6149,True,0.538,0.9781
156,173,68,56,AIRBORNE ENGINEERS (FLASH),45,6,5,0.3125,0.252,81.05,0.5722,0.633,95.35,0.6732,0,0.3373,0.7495,True,0.529,1.1756
157,242,767,789,BOFORS 40L70G,50,1,4,0.25,0.252,96.0,0.6777,0,0,0.0,0,0.3365,0.6729,False,0.0875,0.175
158,36,99,9,REZ. SAPERZY,30,8,8,0.5,0.206,48.52,0.3426,0.492,72.77,0.5137,0,0.3363,1.121,True,0.4993,1.6643
159,325,164,284,KULOMETČÍCI,55,9,9,0.5625,0.185,38.77,0.2737,0.431,38.77,0.2737,2.39,0.3349,0.6089,False,0.4454,0.8099
248,96,243,80,RESERVISTES,30,10,10,0.625,0.147,35.32,0.2494,0.368,35.32,0.2494,0,0.3347,1.1158,False,0.434,1.4467
161,327,129,239,PIONIER (CarlG),55,10,10,0.625,0.155,32.53,0.2297,0.438,38.28,0.2702,1.8,0.3343,0.6078,True,0.4699,0.8544
162,246,84,117,GEBIRGSPIONIERE,50,10,10,0.625,0.155,32.53,0.2297,0.474,53.96,0.381,0,0.3343,0.6686,True,0.5083,1.0167
342,290,150,119,PIONIER,50,10,10,0.625,0.155,32.53,0.2297,0.474,53.96,0.381,0,0.3343,0.6686,True,0.5083,1.0167
164,328,86,170,FALLSCHIRMPIONIER,55,10,10,0.625,0.155,32.53,0.2297,0.474,53.96,0.381,0,0.3343,0.6078,True,0.5083,0.9242
165,420,225,452,PANSERSPEJDERE,60,10,10,0.625,0.155,32.53,0.2297,0.324,32.53,0.2297,1.8,0.3343,0.5571,False,0.4104,0.684
166,329,226,364,FUSILEROS (M65),55,10,10,0.625,0.155,32.53,0.2297,0.324,32.53,0.2297,1.68,0.3343,0.6078,False,0.4104,0.7462
167,249,103,137,ENGINEERS (DRAGON),50,10,10,0.625,0.154,32.0,0.2259,0.486,37.65,0.2658,1.4,0.3334,0.6668,True,0.4905,0.9811
168,422,104,274,ENGINEERS (M67),60,10,10,0.625,0.154,32.0,0.2259,0.486,37.65,0.2658,1.06,0.3334,0.5556,True,0.4905,0.8176
169,337,255,416,LIGHT RIFLES (LAW),55,9,9,0.5625,0.161,44.2,0.312,0.322,32.53,0.2297,2.39,0.3317,0.6032,False,0.3879,0.7052
170,119,69,37,N.G. ENGINEERS,40,10,10,0.625,0.143,34.16,0.2411,0.514,55.87,0.3944,0,0.3311,0.8279,True,0.529,1.3226
171,432,80,247,AIRMOBILE PIONEERS,60,9,9,0.5625,0.175,39.05,0.2757,0.551,45.95,0.3244,1.8,0.3308,0.5514,True,0.5098,0.8497
