CombatRank,ValueRank,ShockRank,ShockValueRank,Unit,Cost,SmallArms,HP,NormalizedHP,EffectiveDPS,Suppression,NormalizedSuppression,ShockDPS,ShockSuppression,ShockNormalizedSuppression,ATScore,CombatScore,ValueScore,IsShock,ShockCombatScore,ShockValueScore
30,100,17,47,COMMANDOS,65,10,10,0.625,0.262,45.88,0.3239,0.66,53.97,0.381,2.38,0.4016,0.6178,True,0.5918,0.9105
31,20,39,20,PROVINCIAUX,50,12,12,0.75,0.178,41.91,0.2958,0.417,41.91,0.2958,0.87,0.4016,0.8032,False,0.5094,1.0188
32,105,55,173,POHRANIČNÍCI,65,11,11,0.6875,0.204,46.99,0.3317,0.423,35.32,0.2494,2.39,0.3989,0.6137,False,0.4808,0.7397
33,267,21,244,FALLSCHIRMJÄGER B1,85,8,8,0.5,0.315,57.98,0.4093,0.615,87.03,0.6144,7.7,0.3987,0.469,True,0.5748,0.6763
34,68,45,100,MECH. CP ESCORT,60,11,11,0.6875,0.217,42.42,0.2994,0.433,42.42,0.2994,1.8,0.3981,0.6634,False,0.4955,0.8259
337,335,316,317,PATHFINDERS,85,9,9,0.5625,0.287,50.51,0.3566,0.707,59.42,0.4195,3.49,0.3973,0.4674,True,0.5991,0.7048
36,12,42,11,ZAPADORES (M65),45,9,9,0.5625,0.252,54.0,0.3812,0.487,63.53,0.4485,1.68,0.3865,0.8589,True,0.5058,1.1239
37,146,94,255,GEBIRGSJÄGER ,65,11,11,0.6875,0.177,44.2,0.312,0.324,32.53,0.2297,1.72,0.3828,0.5889,False,0.4323,0.665
38,264,54,282,COMMANDOS DE L'AIR,80,8,9,0.5625,0.226,58.46,0.4127,0.505,40.54,0.2862,3.76,0.3813,0.4766,True,0.4814,0.6018
39,6,74,7,HJV RESERVISTER,40,12,12,0.75,0.151,35.12,0.248,0.325,35.12,0.248,0.72,0.3799,0.9497,False,0.4585,1.1463
40,1,75,2,CONSCRITS,35,12,12,0.75,0.146,34.88,0.2462,0.316,34.88,0.2462,0.5,0.3777,1.079,False,0.4537,1.2964
41,162,24,71,REZ. DESANT. MOR. PEKHOTA,65,11,11,0.6875,0.182,38.67,0.273,0.573,45.49,0.3211,2.39,0.3771,0.5801,True,0.5625,0.8654
42,95,76,161,PIECHOTA (SVD),60,10,10,0.625,0.197,47.11,0.3326,0.407,35.45,0.2502,1.57,0.3741,0.6235,False,0.4519,0.7531
43,110,77,163,MARINESICHERUNGS,60,11,11,0.6875,0.169,35.39,0.2499,0.352,35.39,0.2499,1.8,0.3665,0.6108,False,0.4492,0.7486
44,37,78,56,GENDARMES,50,10,10,0.625,0.19,40.09,0.283,0.385,40.09,0.283,0.87,0.3609,0.7219,False,0.4486,0.8972
45,127,48,109,WACHSCHÜTZEN,60,10,10,0.625,0.176,43.93,0.3101,0.483,37.96,0.268,1.83,0.36,0.6,True,0.4898,0.8163
46,295,52,287,PARAS-MARINE (Eryx),85,10,10,0.625,0.173,43.79,0.3091,0.475,37.79,0.2668,3.12,0.3586,0.4219,True,0.4858,0.5716
47,279,53,279,PARAS-MARINE,80,10,10,0.625,0.173,43.79,0.3091,0.475,37.79,0.2668,4.72,0.3586,0.4483,True,0.4858,0.6073
48,131,101,210,GREN.-VOLTIGEURS (FR-F1),60,10,10,0.625,0.173,43.79,0.3091,0.351,32.12,0.2268,1.68,0.3586,0.5977,False,0.4221,0.7035
49,191,102,264,LEGIONNAIRES,65,10,10,0.625,0.173,43.79,0.3091,0.351,32.12,0.2268,1.68,0.3586,0.5517,False,0.4221,0.6493
50,132,103,211,MARSOUINS,60,10,10,0.625,0.173,43.79,0.3091,0.351,32.12,0.2268,1.68,0.3586,0.5977,False,0.4221,0.7035
51,3,73,1,ZÁLOŽNÍCI,35,10,10,0.625,0.182,40.92,0.2889,0.406,40.92,0.2889,2.17,0.3585,1.0244,False,0.4592,1.3119
52,239,27,126,KSK,70,7,7,0.4375,0.292,52.0,0.3671,0.64,80.0,0.5648,3.49,0.3581,0.5116,True,0.5539,0.7912
53,76,99,145,FUSILEROS (C90),55,11,11,0.6875,0.154,31.43,0.2219,0.314,31.43,0.2219,4.78,0.3543,0.6442,False,0.4265,0.7754
54,198,29,101,BERLIN RIFLES,65,10,10,0.625,0.179,38.93,0.2748,0.562,45.8,0.3233,4.49,0.3541,0.5448,True,0.5364,0.8252
55,44,72,43,VPB,50,10,10,0.625,0.184,35.47,0.2504,0.429,35.47,0.2504,1.57,0.3518,0.7036,False,0.4618,0.9237
56,209,139,280,GEB. AUFKLÄRER,65,10,10,0.625,0.163,41.34,0.2919,0.295,29.68,0.2095,1.72,0.3505,0.5393,False,0.3935,0.6054
57,315,69,314,DESANT. SPETSRAZVEDKA,90,10,10,0.625,0.161,40.47,0.2857,0.437,33.88,0.2392,2.76,0.3485,0.3872,True,0.4634,0.5148
58,48,100,89,LIVGARDEN,50,10,10,0.625,0.173,36.44,0.2572,0.341,36.44,0.2572,1.8,0.348,0.6959,False,0.4234,0.8468
59,165,35,73,DESANT. KOMANDOSI,60,8,8,0.5,0.245,42.68,0.3013,0.604,50.21,0.3545,2.22,0.3454,0.5757,True,0.5175,0.8625
60,10,91,13,RESERVE,40,10,10,0.625,0.161,38.14,0.2693,0.366,38.14,0.2693,2.17,0.3451,0.8627,False,0.4375,1.0938
61,5,108,6,RESERVISTES (LRAC),35,10,10,0.625,0.159,38.09,0.2689,0.328,38.09,0.2689,0.97,0.3442,0.9833,False,0.4201,1.2002
62,92,79,110,URSN,55,8,8,0.5,0.234,44.87,0.3167,0.493,36.31,0.2564,2.22,0.3438,0.6251,True,0.4483,0.8151
63,171,81,178,CHASSEURS-PARAS,60,10,10,0.625,0.166,35.32,0.2494,0.387,35.32,0.2494,1.68,0.3435,0.5724,False,0.4428,0.7379
64,291,36,268,LÉGIONNAIRES-PARAS,80,10,10,0.625,0.166,35.32,0.2494,0.524,41.56,0.2934,4.72,0.3435,0.4293,True,0.513,0.6413
65,172,82,179,GREN.-VOLTIGEURS (APILAS),60,10,10,0.625,0.166,35.32,0.2494,0.387,35.32,0.2494,4.72,0.3435,0.5724,False,0.4428,0.7379
66,173,83,180,AEROMOBILES,60,10,10,0.625,0.166,35.32,0.2494,0.387,35.32,0.2494,4.72,0.3435,0.5724,False,0.4428,0.7379
67,94,84,117,GRENADIER-VOLTIGEURS,55,10,10,0.625,0.166,35.32,0.2494,0.387,35.32,0.2494,1.68,0.3435,0.6245,False,0.4428,0.805
68,220,85,239,LEGIONNAIRES (APILAS),65,10,10,0.625,0.166,35.32,0.2494,0.387,35.32,0.2494,4.72,0.3435,0.5284,False,0.4428,0.6812
69,174,86,181,MARSOUINS (APILAS),60,10,10,0.625,0.166,35.32,0.2494,0.387,35.32,0.2494,4.72,0.3435,0.5724,False,0.4428,0.7379
70,13,142,28,RESERVISTES (FR-F1),40,10,10,0.625,0.141,41.05,0.2898,0.28,29.38,0.2074,0.97,0.3401,0.8503,False,0.3863,0.9657
71,230,43,143,AERO-SCOUTS,65,10,10,0.625,0.161,34.16,0.2411,0.508,40.19,0.2837,2.39,0.3396,0.5225,True,0.5041,0.7756
72,116,80,116,KULOMETČÍCI,55,9,9,0.5625,0.185,38.77,0.2737,0.431,38.77,0.2737,2.39,0.3349,0.6089,False,0.4454,0.8099
73,117,64,80,PIONIER (CarlG),55,10,10,0.625,0.155,32.53,0.2297,0.438,38.28,0.2702,1.8,0.3343,0.6078,True,0.4699,0.8544
74,184,123,233,PANSERSPEJDERE,60,10,10,0.625,0.155,32.53,0.2297,0.324,32.53,0.2297,1.8,0.3343,0.5571,False,0.4104,0.684
75,118,124,166,FUSILEROS (M65),55,10,10,0.625,0.155,32.53,0.2297,0.324,32.53,0.2297,1.68,0.3343,0.6078,False,0.4104,0.7462
76,63,46,24,ENGINEERS (DRAGON),50,10,10,0.625,0.154,32.0,0.2259,0.486,37.65,0.2658,1.4,0.3334,0.6668,True,0.4905,0.9811
77,185,47,107,ENGINEERS (M67),60,10,10,0.625,0.154,32.0,0.2259,0.486,37.65,0.2658,1.06,0.3334,0.5556,True,0.4905,0.8176
78,124,141,207,LIGHT RIFLES (LAW),55,9,9,0.5625,0.161,44.2,0.312,0.322,32.53,0.2297,2.39,0.3317,0.6032,False,0.3879,0.7052
79,192,38,86,AIRMOBILE PIONEERS,60,9,9,0.5625,0.175,39.05,0.2757,0.551,45.95,0.3244,1.8,0.3308,0.5514,True,0.5098,0.8497
80,126,93,127,AIRMOBILE GUN GROUP,55,9,9,0.5625,0.175,38.77,0.2737,0.407,38.77,0.2737,2.39,0.3303,0.6005,False,0.4346,0.7903
81,193,40,88,SPADOCHRONIARZE (PKM),60,9,9,0.5625,0.175,38.77,0.2737,0.55,45.61,0.322,1.8,0.3303,0.5505,True,0.5089,0.8482
82,32,70,19,PIONIERS (RL-83),45,9,9,0.5625,0.177,37.2,0.2626,0.454,43.76,0.309,1.29,0.3289,0.7308,True,0.4629,1.0287
83,197,49,112,Fs-EINSATZGRUPPE,60,8,8,0.5,0.219,39.04,0.2756,0.553,45.93,0.3242,3.49,0.3286,0.5477,True,0.4889,0.8148
84,33,92,25,RESERVISTEN,45,9,9,0.5625,0.18,35.73,0.2523,0.419,35.73,0.2523,1.57,0.3284,0.7297,False,0.4358,0.9685
85,244,87,241,SPADOCHRONIARZE,65,9,9,0.5625,0.161,40.73,0.2876,0.435,34.2,0.2414,1.57,0.3266,0.5025,True,0.4407,0.678
86,139,98,137,STŘELCI,55,9,9,0.5625,0.175,35.45,0.2502,0.407,35.45,0.2502,2.02,0.3256,0.592,False,0.43,0.7818
87,72,56,30,N.G. ENGINEERS (M67),50,10,10,0.625,0.136,32.0,0.2259,0.461,37.65,0.2658,0.95,0.3253,0.6506,True,0.4796,0.9591
88,7,137,9,PRIZIVNIKI,35,9,10,0.625,0.134,32.72,0.231,0.307,26.89,0.1898,0.61,0.3252,0.9291,False,0.3951,1.1288
89,205,104,214,LIGHT RIFLES (AT-4),60,9,9,0.5625,0.162,39.2,0.2767,0.376,39.2,0.2767,3.82,0.3249,0.5415,False,0.4213,0.7022
90,249,105,265,LIGHT RIFLES (Dragon),65,9,9,0.5625,0.162,39.2,0.2767,0.376,39.2,0.2767,1.98,0.3249,0.4998,False,0.4213,0.6482
91,250,106,266,LIGHT RIFLES (RCL),65,9,9,0.5625,0.162,39.2,0.2767,0.376,39.2,0.2767,1.06,0.3249,0.4998,False,0.4213,0.6482
92,19,44,5,RESERVISTES SAPEURS,40,10,10,0.625,0.133,32.24,0.2276,0.449,53.62,0.3785,0.97,0.3243,0.8108,True,0.4966,1.2414
93,214,109,218,AIRMOBILE,60,9,9,0.5625,0.163,35.73,0.2523,0.38,35.73,0.2523,4.49,0.3208,0.5346,False,0.4181,0.6969
94,160,110,153,MOT. AIRMOBILE,55,9,9,0.5625,0.163,35.73,0.2523,0.38,35.73,0.2523,1.8,0.3208,0.5832,False,0.4181,0.7603
95,80,111,93,GUARDS (CarlG),50,9,9,0.5625,0.163,35.73,0.2523,0.38,35.73,0.2523,1.8,0.3208,0.6415,False,0.4181,0.8363
96,41,112,40,GUARDS,45,9,9,0.5625,0.163,35.73,0.2523,0.38,35.73,0.2523,2.39,0.3208,0.7128,False,0.4181,0.9292
279,81,281,94,MOT. RIFLES,50,9,9,0.5625,0.163,35.73,0.2523,0.38,35.73,0.2523,1.8,0.3208,0.6415,False,0.4181,0.8363
98,271,50,220,DESANT. USILENNIE,70,9,9,0.5625,0.163,35.73,0.2523,0.514,42.04,0.2968,4.78,0.3208,0.4582,True,0.4873,0.6962
99,292,165,318,DELTA,75,5,6,0.375,0.237,58.53,0.4132,0.403,40.62,0.2868,2.54,0.3206,0.4275,True,0.3701,0.4934
198,298,145,284,FALLSCHIRMJÄGER,65,8,8,0.5,0.214,34.88,0.2462,0.538,41.03,0.2897,2.86,0.3204,0.493,True,0.4752,0.7311
101,272,58,240,FALLSCHIRMJÄGER (Metis),70,8,8,0.5,0.214,34.88,0.2462,0.538,41.03,0.2897,2.8,0.3204,0.4577,True,0.4752,0.6789
102,161,59,72,LUFTSTURM-JÄGER,55,8,8,0.5,0.214,34.88,0.2462,0.538,41.03,0.2897,2.86,0.3204,0.5826,True,0.4752,0.864
103,215,60,125,LUFTSTURM-JÄGER (Metis),60,8,8,0.5,0.214,34.88,0.2462,0.538,41.03,0.2897,2.8,0.3204,0.534,True,0.4752,0.792
104,256,51,164,AIRBORNE,65,9,9,0.5625,0.163,35.45,0.2502,0.513,41.7,0.2944,3.82,0.3202,0.4926,True,0.4864,0.7484
105,85,118,99,MECH. RIFLES (LAW),50,9,9,0.5625,0.158,35.59,0.2512,0.369,35.59,0.2512,2.39,0.3184,0.6368,False,0.413,0.826
106,218,119,231,MECH. RIFLES (DRAGON),60,9,9,0.5625,0.158,35.59,0.2512,0.369,35.59,0.2512,1.98,0.3184,0.5307,False,0.413,0.6883
107,164,61,74,AERO-RIFLES,55,9,9,0.5625,0.154,35.73,0.2523,0.485,42.04,0.2968,2.39,0.3166,0.5757,True,0.4743,0.8624
108,259,62,190,AERO-RIFLES (DRAGON),65,9,9,0.5625,0.154,35.73,0.2523,0.485,42.04,0.2968,1.98,0.3166,0.4871,True,0.4743,0.7297
109,275,63,242,AIRBORNE (DRAGON),70,9,9,0.5625,0.154,35.73,0.2523,0.485,42.04,0.2968,1.98,0.3166,0.4523,True,0.4743,0.6776
110,88,126,108,LIGHT RIFLES (VIPER),50,9,9,0.5625,0.154,35.73,0.2523,0.358,35.73,0.2523,2.86,0.3166,0.6332,False,0.4085,0.8171
111,90,33,18,SAPERZY,50,9,9,0.5625,0.165,32.12,0.2268,0.554,53.48,0.3775,1.8,0.3163,0.6326,True,0.5218,1.0435
112,222,34,69,NIEB. BERETY SAPERZY,60,9,9,0.5625,0.165,32.12,0.2268,0.554,53.48,0.3775,1.57,0.3163,0.5272,True,0.5218,0.8696
113,91,117,97,PIECHOTA ,50,9,9,0.5625,0.165,32.12,0.2268,0.383,32.12,0.2268,1.57,0.3163,0.6326,False,0.4146,0.8291
114,8,156,15,FR. POLIZEI-RESERVE,35,10,10,0.625,0.128,26.87,0.1897,0.267,26.87,0.1897,0.58,0.3142,0.8978,False,0.377,1.0772
115,176,129,183,AIR CAV. TROOPERS,55,9,9,0.5625,0.153,33.11,0.2338,0.356,33.11,0.2338,2.39,0.3125,0.5682,False,0.4039,0.7343
116,93,140,136,INFANTERIE (LAW),50,9,9,0.5625,0.153,33.05,0.2333,0.328,33.05,0.2333,2.39,0.3123,0.6246,False,0.3909,0.7819
117,296,236,331,SPETSNAZ GRU,75,6,6,0.375,0.261,44.88,0.3168,0.334,36.33,0.2565,4.03,0.3123,0.4164,True,0.3329,0.4439
118,96,197,212,JÆGERE,50,6,6,0.375,0.254,46.7,0.3297,0.369,38.47,0.2716,3.49,0.3117,0.6233,True,0.3515,0.703
119,313,198,334,LRS,80,6,6,0.375,0.254,46.7,0.3297,0.369,38.47,0.2716,3.49,0.3117,0.3896,True,0.3515,0.4394
120,263,66,198,SPADOCHRONIARZE (METIS),65,9,9,0.5625,0.153,32.27,0.2278,0.483,37.96,0.268,2.04,0.3115,0.4792,True,0.4679,0.7198
121,50,130,57,FUSILIER (RL-83),45,9,9,0.5625,0.153,32.27,0.2278,0.357,32.27,0.2278,1.29,0.3115,0.6922,False,0.4031,0.8958
122,23,131,21,FUSILIER ,40,9,9,0.5625,0.153,32.27,0.2278,0.357,32.27,0.2278,2.02,0.3115,0.7788,False,0.4031,1.0078
123,97,169,184,B.G.S.,50,9,9,0.5625,0.152,32.59,0.2301,0.275,32.59,0.2301,1.68,0.3114,0.6228,False,0.3665,0.7329
124,98,132,118,MOR. PEKHOTA (RPG-22),50,9,9,0.5625,0.151,32.27,0.2278,0.351,32.27,0.2278,2.76,0.3104,0.6208,False,0.4006,0.8011
125,179,133,193,MORSKAYA PEKHOTA,55,9,9,0.5625,0.151,32.27,0.2278,0.351,32.27,0.2278,1.83,0.3104,0.5644,False,0.4006,0.7283
126,232,67,146,DESANT. MOR. PEKHOTA,60,9,9,0.5625,0.151,32.27,0.2278,0.475,37.96,0.268,1.57,0.3104,0.5173,True,0.4644,0.774
127,180,68,91,DESANT. OCHRONA,55,9,9,0.5625,0.151,32.27,0.2278,0.475,37.96,0.268,1.8,0.3104,0.5644,True,0.4644,0.8444
128,265,125,272,AIRMOBILE SCOUTS,65,8,8,0.5,0.172,39.18,0.2766,0.399,39.18,0.2766,2.39,0.3076,0.4732,False,0.41,0.6308
129,236,71,148,FALLSCHIRMJÄGER (s.MG),60,7,7,0.4375,0.221,38.84,0.2742,0.545,45.7,0.3226,3.49,0.3075,0.5124,True,0.4629,0.7716
130,316,190,330,FERNSPAHER,80,6,6,0.375,0.231,50.38,0.3557,0.364,42.8,0.3021,3.49,0.3064,0.383,True,0.3556,0.4445
131,306,223,329,SPEZIALAUFKLÄRER,75,6,6,0.375,0.231,50.0,0.353,0.325,42.35,0.299,3.49,0.3058,0.4077,True,0.3372,0.4496
132,266,224,312,RT SHPz,65,6,6,0.375,0.231,50.0,0.353,0.325,42.35,0.299,3.49,0.3058,0.4705,True,0.3372,0.5187
133,241,115,224,GREEN BERETS,60,6,6,0.375,0.259,40.7,0.2873,0.479,48.54,0.3427,5.4,0.3051,0.5084,True,0.4155,0.6926
134,189,182,259,MOT.-SCHÜTZEN (SVD),55,8,8,0.5,0.16,41.0,0.2894,0.319,29.33,0.2071,2.39,0.3047,0.5541,False,0.36,0.6546
135,27,135,23,N.G. RIFLES (LAW),40,9,9,0.5625,0.135,33.11,0.2338,0.338,33.11,0.2338,2.17,0.3045,0.7612,False,0.3958,0.9896
136,9,138,10,RESERVISTES,35,9,9,0.5625,0.135,32.27,0.2278,0.339,32.27,0.2278,1.17,0.3032,0.8662,False,0.3948,1.128
137,194,159,246,EXPLORADORES,55,9,9,0.5625,0.141,29.68,0.2095,0.295,29.68,0.2095,1.68,0.3021,0.5492,False,0.3716,0.6757
138,195,160,247,JÄGER AUFKL.,55,9,9,0.5625,0.141,29.68,0.2095,0.295,29.68,0.2095,1.72,0.3021,0.5492,False,0.3716,0.6757
139,120,161,168,JÄGER (CarlG),50,9,9,0.5625,0.141,29.68,0.2095,0.295,29.68,0.2095,1.8,0.3021,0.6041,False,0.3716,0.7433
140,121,162,169,JÄGER (PzF),50,9,9,0.5625,0.141,29.68,0.2095,0.295,29.68,0.2095,1.72,0.3021,0.6041,False,0.3716,0.7433
141,122,163,170,PZ.GRENADIER (M113),50,9,9,0.5625,0.141,29.68,0.2095,0.295,29.68,0.2095,1.72,0.3021,0.6041,False,0.3716,0.7433
142,125,168,172,INFANTERIE,50,9,9,0.5625,0.139,29.38,0.2074,0.292,29.38,0.2074,1.8,0.3011,0.6022,False,0.3699,0.7398
143,200,146,223,MOTORISED SCOUTS,55,8,8,0.5,0.163,35.75,0.2524,0.346,35.75,0.2524,1.8,0.2988,0.5433,False,0.381,0.6928
144,134,143,149,N.G. RIFLES (DRAGON),50,9,9,0.5625,0.129,30.96,0.2185,0.323,30.96,0.2185,1.85,0.2986,0.5972,False,0.3858,0.7715
145,135,144,150,N.G. RIFLES (M67),50,9,9,0.5625,0.129,30.96,0.2185,0.323,30.96,0.2185,0.95,0.2986,0.5972,False,0.3858,0.7715
146,319,95,302,FORMOZA,80,6,6,0.375,0.236,43.2,0.305,0.446,69.65,0.4917,3.49,0.2985,0.3731,True,0.4303,0.5378
147,136,96,76,FRØMÆND,50,6,6,0.375,0.236,43.2,0.305,0.446,69.65,0.4917,2.54,0.2985,0.597,True,0.4303,0.8605
148,201,97,135,PSSE-B,55,6,6,0.375,0.236,43.2,0.305,0.446,69.65,0.4917,5.4,0.2985,0.5428,True,0.4303,0.7823
149,293,155,301,DESANT. ROZP. SPECJALNE,70,6,6,0.375,0.236,43.2,0.305,0.39,50.82,0.3588,2.86,0.2985,0.4265,True,0.3784,0.5405
150,14,164,17,NATRES,35,9,9,0.5625,0.127,29.53,0.2084,0.294,29.53,0.2084,2.17,0.2955,0.8443,False,0.371,1.06
151,29,166,42,HEIMAT-JÄGER,40,9,9,0.5625,0.126,29.68,0.2095,0.292,29.68,0.2095,1.66,0.2954,0.7386,False,0.3701,0.9253
152,71,167,102,HEIMAT-AUFKLÄRER,45,9,9,0.5625,0.126,29.68,0.2095,0.292,29.68,0.2095,1.6,0.2954,0.6565,False,0.3701,0.8225
153,216,215,275,PANZERMATROSEN,55,8,8,0.5,0.145,37.53,0.265,0.285,25.87,0.1826,1.83,0.2933,0.5333,False,0.3399,0.618
154,156,221,248,GVARDEITSY (SVD),50,8,8,0.5,0.143,37.53,0.265,0.28,25.87,0.1826,2.76,0.2922,0.5844,False,0.3373,0.6747
155,157,225,250,CHASSEURS,50,8,8,0.5,0.143,37.39,0.264,0.279,25.72,0.1816,1.68,0.2919,0.5838,False,0.337,0.6739
156,158,226,251,SPAHIS,50,8,8,0.5,0.143,37.39,0.264,0.279,25.72,0.1816,1.68,0.2919,0.5838,False,0.337,0.6739
157,276,227,313,HUSSARDS-PARA.,65,8,8,0.5,0.143,37.39,0.264,0.279,25.72,0.1816,4.72,0.2919,0.4491,False,0.337,0.5184
158,217,228,276,POGRANVOISKA KGB,55,8,8,0.5,0.143,37.39,0.264,0.279,25.72,0.1816,2.76,0.2919,0.5308,False,0.337,0.6127
159,219,154,230,MECH. RIFLES (C6),55,8,8,0.5,0.148,35.15,0.2482,0.345,35.15,0.2482,1.8,0.2913,0.5296,False,0.3797,0.6903
160,35,195,65,INFANTERI,40,8,8,0.5,0.154,32.67,0.2306,0.292,32.67,0.2306,1.8,0.2904,0.7259,False,0.3524,0.881
161,163,147,152,MOT.-SCHÜTZEN (BTR),50,8,8,0.5,0.153,32.53,0.2297,0.355,32.53,0.2297,2.02,0.2896,0.5792,False,0.3807,0.7615
162,224,148,225,MOT.-SCHÜTZEN (Metis),55,8,8,0.5,0.153,32.53,0.2297,0.355,32.53,0.2297,2.04,0.2896,0.5266,False,0.3807,0.6922
163,225,149,226,MOT.-SCHÜTZEN (Strela),55,8,8,0.5,0.153,32.53,0.2297,0.355,32.53,0.2297,2.39,0.2896,0.5266,False,0.3807,0.6922
164,226,150,227,RES. PARA-COMMANDO,55,8,8,0.5,0.153,32.53,0.2297,0.355,32.53,0.2297,2.02,0.2896,0.5266,False,0.3807,0.6922
339,340,339,343,ECLAIREURS,55,8,8,0.5,0.153,32.53,0.2297,0.355,32.53,0.2297,1.29,0.2896,0.5266,False,0.3807,0.6922
166,168,88,67,ASSAULT PIONEERS (Carl.G),50,8,8,0.5,0.148,32.53,0.2297,0.465,38.27,0.2702,1.8,0.2874,0.5748,True,0.4383,0.8766
